date,optionID,optionK,optionName,volumeValue,open,high,low,close,SettlementPrice,volume,open interest,uplimit,downlimit,Delta,Gamma,Vega,Theta,Rho
2016/9/23,10000617,2.15,50ETF购2016年12月2.104A,"817,123.00",0.1298,0.132,0.1264,0.1264,0.1261,628,"7,027",0.3548,0.0001,0.842,1.982,0.28,-0.107,0.471
2016/9/23,10000618,2.2,50ETF购2016年12月2.153A,"859,903.00",0.1006,0.1016,0.0963,0.0963,0.0963,864,"7,481",0.3261,0.0001,0.689,2.424,0.41,-0.139,0.387
2016/9/23,10000619,2.25,50ETF购2016年12月2.202A,"1,324,030.00",0.0762,0.0768,0.072,0.072,0.072,"1,770","17,294",0.3016,0.0001,0.555,2.472,0.459,-0.153,0.314
2016/9/23,10000620,2.05,50ETF沽2016年12月2.006A,"234,782.00",0.0108,0.0118,0.0105,0.0118,0.0118,"2,095","21,116",0.1958,0.0001,-0.117,0.998,0.229,-0.065,-0.074
2016/9/23,10000621,2.1,50ETF沽2016年12月2.055A,"394,423.00",0.0199,0.021,0.019,0.021,0.021,"1,981","16,829",0.2141,0.0001,-0.184,1.326,0.308,-0.087,-0.116
2016/9/23,10000622,2.15,50ETF沽2016年12月2.104A,"651,076.00",0.0333,0.0347,0.0321,0.0339,0.0339,"1,952","16,209",0.2381,0.0001,-0.264,1.614,0.38,-0.106,-0.167
2016/9/23,10000623,2.2,50ETF沽2016年12月2.153A,"769,357.00",0.05,0.0544,0.05,0.0544,0.0544,"1,461","14,898",0.268,0.0001,-0.358,1.761,0.434,-0.123,-0.229
2016/9/23,10000624,2.25,50ETF沽2016年12月2.202A,"641,580.00",0.0788,0.0798,0.0765,0.0796,0.0796,824,"13,379",0.303,0.0001,-0.451,1.796,0.46,-0.132,-0.291
2016/9/23,10000625,2,50ETF购2016年12月1.957A,"1,749,593.00",0.2521,0.2545,0.2472,0.2473,0.25,697,"5,704",0.4805,0.0295,1,0,0,-0.058,0.529
2016/9/23,10000626,2,50ETF沽2016年12月1.957A,"85,747.00",0.006,0.0066,0.0059,0.0063,0.0063,"1,397","19,055",0.1806,0.0001,-0.07,0.685,0.157,-0.045,-0.044
2016/9/23,10000629,1.95,50ETF购2016年12月1.908A,"1,853,778.00",0.2996,0.3013,0.2941,0.2941,0.3007,620,"12,499",0.5305,0.0795,1,0,0,-0.057,0.516
2016/9/23,10000630,1.95,50ETF沽2016年12月1.908A,"64,580.00",0.0037,0.0043,0.0035,0.0042,0.0042,"1,565","23,718",0.168,0.0001,-0.046,0.469,0.113,-0.035,-0.029
2016/9/23,10000661,2.3,50ETF购2016年12月2.250A,"579,742.00",0.0563,0.0573,0.0525,0.0525,0.0525,"1,045","17,377",0.2773,0.0001,0.438,2.334,0.458,-0.152,0.248
2016/9/23,10000662,2.3,50ETF沽2016年12月2.250A,"357,174.00",0.1082,0.1107,0.107,0.1107,0.1107,329,"9,242",0.3335,0.0001,-0.536,1.711,0.461,-0.135,-0.351
2016/9/23,10000667,2.35,50ETF购2016年9月2.35,"49,129.00",0.0009,0.001,0.0005,0.0006,0.0006,"7,743","83,358",0.2169,0.0001,0.03,1.323,0.018,-0.13,0.001
2016/9/23,10000668,2.35,50ETF沽2016年9月2.35,"4,244,663.00",0.0963,0.0995,0.0919,0.0995,0.101,"4,424","9,015",0.3217,0.0001,-0.959,1.577,0.023,-0.112,-0.031
2016/9/23,10000669,2.35,50ETF购2016年12月2.299A,"312,830.00",0.0408,0.042,0.0384,0.0384,0.0384,777,"17,624",0.2574,0.0001,0.339,2.052,0.425,-0.144,0.193
2016/9/23,10000670,2.35,50ETF沽2016年12月2.299A,"400,704.00",0.1424,0.1471,0.142,0.1467,0.1467,277,"7,388",0.3678,0.0001,-0.608,1.56,0.446,-0.133,-0.404
2016/9/23,10000671,2.1,50ETF购2017年3月2.055A,"603,308.00",0.1914,0.1914,0.1853,0.1853,0.1853,319,"7,092",0.4158,0.0001,0.914,1.122,0.251,-0.077,0.935
2016/9/23,10000672,2.15,50ETF购2017年3月2.104A,"97,099.00",0.1589,0.1589,0.1556,0.1556,0.1544,62,"3,212",0.383,0.0001,0.78,1.614,0.471,-0.101,0.8
2016/9/23,10000673,2.2,50ETF购2017年3月2.153A,"202,005.00",0.1317,0.1328,0.127,0.127,0.127,154,"4,406",0.357,0.0001,0.673,1.763,0.574,-0.114,0.693
2016/9/23,10000674,2.25,50ETF购2017年3月2.202A,"488,398.00",0.1095,0.1099,0.1047,0.1047,0.1047,452,"7,461",0.3355,0.0001,0.577,1.764,0.623,-0.122,0.596
2016/9/23,10000675,2.3,50ETF购2017年3月2.250A,"404,012.00",0.0905,0.091,0.0861,0.0861,0.0861,457,"10,444",0.3115,0.0001,0.491,1.686,0.634,-0.124,0.51
2016/9/23,10000676,2.1,50ETF沽2017年3月2.055A,"445,207.00",0.0517,0.0525,0.0509,0.0518,0.0518,865,"13,684",0.2471,0.0001,-0.254,1.013,0.51,-0.083,-0.312
2016/9/23,10000677,2.15,50ETF沽2017年3月2.104A,"236,202.00",0.0705,0.0712,0.07,0.071,0.071,335,"9,405",0.2761,0.0001,-0.314,1.094,0.564,-0.092,-0.388
2016/9/23,10000678,2.2,50ETF沽2017年3月2.153A,"215,157.00",0.0933,0.0944,0.0925,0.0943,0.0943,230,"11,616",0.3088,0.0001,-0.374,1.134,0.603,-0.099,-0.468
2016/9/23,10000679,2.25,50ETF沽2017年3月2.202A,"403,905.00",0.1198,0.1211,0.1187,0.1211,0.1211,337,"8,146",0.3449,0.0001,-0.433,1.141,0.625,-0.103,-0.547
2016/9/23,10000680,2.3,50ETF沽2017年3月2.250A,"250,615.00",0.1508,0.1509,0.148,0.1506,0.1506,167,"4,371",0.3762,0.0001,-0.488,1.126,0.634,-0.105,-0.624
2016/9/23,10000681,2.35,50ETF购2017年3月2.299A,"307,099.00",0.0742,0.0742,0.0701,0.0705,0.0705,425,"5,472",0.2902,0.0001,0.417,1.573,0.621,-0.122,0.433
2016/9/23,10000682,2.35,50ETF沽2017年3月2.299A,"123,150.00",0.1827,0.1844,0.1827,0.1834,0.185,67,"4,083",0.4089,0.0001,-0.539,1.077,0.631,-0.106,-0.698
2016/9/23,10000687,2.4,50ETF购2016年9月2.40,"16,504.00",0.0005,0.0005,0.0001,0.0002,0.0003,"5,174","47,215",0.2115,0.0001,0.008,0.368,0.006,-0.048,0
2016/9/23,10000688,2.45,50ETF购2016年9月2.45,"7,322.00",0.0002,0.0005,0.0001,0.0002,0.0002,"3,039","68,684",0.2064,0.0001,0.006,0.235,0.005,-0.05,0
