,date,optionID,optionK,optionName,volumeValue,open,high,low,close,SettlementPrice,volume,open interest,uplimit,downlimit,Delta,Gamma,Vega,Theta,Rho
56,2018/8/13,10001333,2.95,50ETF购2018年12月2.95,"319,878.00",0.0277,0.0285,0.0244,0.0268,0.0268,"1,218","16,096",0.2449,0.0001,0.157,0.708,0.369,-0.121,0.13699999999999998
57,2018/8/13,10001334,2.95,50ETF沽2018年12月2.95,"977,802.00",0.43,0.4593,0.4272,0.4281,0.4268,219,"4,219",0.6611,0.1509,-0.818,0.711,0.405,-0.059000000000000004,-0.922
58,2018/8/13,10001357,2.4,50ETF购2018年9月2.40,"6,097,029.00",0.1787,0.1827,0.1458,0.1688,0.1688,"3,769","6,189",0.4436,0.0001,0.7509999999999999,1.456,0.278,-0.337,0.20800000000000002
59,2018/8/13,10001358,2.4,50ETF沽2018年9月2.40,"8,049,057.00",0.0336,0.0478,0.0312,0.0347,0.0347,"19,821","21,015",0.255,0.0001,-0.25,1.4509999999999998,0.27899999999999997,-0.26899999999999996,-0.08
60,2018/8/13,10001359,2.4,50ETF购2018年12月2.40,"1,058,726.00",0.2343,0.2343,0.2043,0.22399999999999998,0.22399999999999998,485,"4,579",0.4948,0.0001,0.6990000000000001,1.008,0.535,-0.20800000000000002,0.5710000000000001
61,2018/8/13,10001360,2.4,50ETF沽2018年12月2.40,"1,155,188.00",0.076,0.0958,0.076,0.0785,0.0785,"1,336","6,824",0.2982,0.0001,-0.308,0.965,0.54,-0.14800000000000002,-0.316
62,2018/8/13,10001367,2.35,50ETF购2018年9月2.35,"4,836,220.00",0.2168,0.2174,0.1812,0.209,0.2085,"2,443","5,063",0.4835,0.0001,0.815,1.188,0.23399999999999999,-0.304,0.223
63,2018/8/13,10001368,2.35,50ETF沽2018年9月2.35,"3,382,422.00",0.0231,0.0333,0.0211,0.0238,0.0238,"12,101","14,944",0.2358,0.0001,-0.184,1.19,0.233,-0.23199999999999998,-0.059000000000000004
64,2018/8/13,10001369,2.35,50ETF购2018年12月2.35,"2,017,893.00",0.2698,0.2698,0.235,0.2559,0.2576,808,"2,008",0.5305,0.0203,0.75,0.919,0.488,-0.196,0.606
65,2018/8/13,10001370,2.35,50ETF沽2018年12月2.35,"586,149.00",0.0617,0.0777,0.0614,0.0634,0.0634,838,"4,969",0.2737,0.0001,-0.261,0.88,0.499,-0.141,-0.267
66,2018/8/13,10001375,2.3,50ETF购2018年9月2.30,"1,774,303.00",0.2607,0.2607,0.2197,0.2503,0.2503,740,"5,451",0.5268,0.0166,0.868,0.9329999999999999,0.187,-0.26,0.23399999999999999
67,2018/8/13,10001376,2.3,50ETF沽2018年9月2.30,"4,137,622.00",0.0154,0.0227,0.013999999999999999,0.0156,0.0156,"21,830","18,217",0.2188,0.0001,-0.13,0.9309999999999999,0.185,-0.188,-0.040999999999999995
68,2018/8/13,10001377,2.3,50ETF购2018年12月2.30,"483,790.00",0.302,0.3023,0.2701,0.2955,0.2955,166,"1,731",0.5689,0.0587,0.794,0.809,0.43799999999999994,-0.18600000000000003,0.632
69,2018/8/13,10001378,2.3,50ETF沽2018年12月2.30,"384,981.00",0.0495,0.0632,0.0494,0.0527,0.0527,716,"5,636",0.2529,0.0001,-0.221,0.78,0.456,-0.135,-0.226
70,2018/8/13,10001381,2.25,50ETF购2018年9月2.25,"1,542,310.00",0.3037,0.3039,0.2627,0.2947,0.2947,549,"2,273",0.5714,0.0612,0.909,0.701,0.14400000000000002,-0.218,0.24100000000000002
71,2018/8/13,10001382,2.25,50ETF沽2018年9月2.25,"2,232,451.00",0.0101,0.0152,0.0089,0.0098,0.0098,"17,612","14,467",0.2042,0.0001,-0.087,0.691,0.139,-0.14400000000000002,-0.027999999999999997
72,2018/8/13,10001383,2.25,50ETF购2018年12月2.25,"743,970.00",0.3392,0.3424,0.3088,0.3343,0.3338,225,"2,069",0.6086,0.0984,0.836,0.703,0.38,-0.17,0.657
73,2018/8/13,10001384,2.25,50ETF沽2018年12月2.25,"329,514.00",0.0395,0.0513,0.0391,0.0402,0.0402,746,"5,536",0.2326,0.0001,-0.179,0.69,0.402,-0.12,-0.182
74,2018/8/13,10001385,2.25,50ETF购2018年8月2.25,"5,151,086.00",0.2899,0.2902,0.2432,0.2806,0.2793,"1,941","2,422",0.5574,0.0472,0.9740000000000001,0.396,0.024,-0.255,0.054000000000000006
75,2018/8/13,10001386,2.3,50ETF购2018年8月2.30,"7,961,109.00",0.2388,0.2419,0.1946,0.23,0.23,"3,655","4,634",0.5074,0.0001,0.9590000000000001,0.627,0.035,-0.31,0.054000000000000006
76,2018/8/13,10001387,2.35,50ETF购2018年8月2.35,"16,587,562.00",0.1906,0.1935,0.14800000000000002,0.1815,0.1815,"9,805","11,749",0.4594,0.0001,0.9329999999999999,1.0390000000000001,0.052000000000000005,-0.39399999999999996,0.054000000000000006
77,2018/8/13,10001388,2.4,50ETF购2018年8月2.40,"45,571,566.00",0.145,0.147,0.106,0.134,0.134,"36,557","14,585",0.4121,0.0001,0.888,1.736,0.076,-0.486,0.052000000000000005
78,2018/8/13,10001389,2.45,50ETF购2018年8月2.45,"49,986,138.00",0.1008,0.1038,0.07,0.0915,0.0915,"58,575","20,775",0.3695,0.0001,0.78,2.8160000000000003,0.11699999999999999,-0.687,0.046
79,2018/8/13,10001390,2.5,50ETF购2018年8月2.50,"88,637,262.00",0.0666,0.067,0.0421,0.0594,0.0594,"165,343","54,367",0.3322,0.0001,0.608,3.4739999999999998,0.152,-0.905,0.036000000000000004
80,2018/8/13,10001391,2.55,50ETF购2018年8月2.55,"57,515,057.00",0.0407,0.0409,0.0242,0.0341,0.0341,"182,867","94,538",0.3026,0.0001,0.429,3.575,0.156,-0.905,0.026000000000000002
